system_id,system_label,system_mode,preset_id,preset_label,route_b_algorithm_version,selected_source,scorer_score,protein_gap_g,calorie_gap_kcal,estimated_basket_cost,score_delta_vs_heuristic_scorer,protein_gap_delta_vs_heuristic_scorer,calorie_gap_delta_vs_heuristic_scorer,cost_delta_vs_heuristic_scorer,selected_candidate_source_changed_vs_heuristic_scorer,materially_different_vs_heuristic_scorer,difference_summary_vs_heuristic_scorer,full_generalized_selected_source,matches_full_generalized_source
heuristic_legacy,Heuristic Legacy Baseline,legacy_heuristic,muscle_gain,Muscle Gain,route_b_generalized_v5_main__legacy_heuristic,heuristic,9.848933,2.2,22.1,10.13,-1.078021,-2.6,-7.4,0.46,0,1,3 booster/produce substitutions,model,0
heuristic_scorer_only,Heuristic + Scorer Only,heuristic_scorer,muscle_gain,Muscle Gain,route_b_generalized_v5_main__heuristic_scorer_only,heuristic,10.926954,4.8,29.5,9.67,0.0,0.0,0.0,0.0,0,0,Same basket,model,0
route_b_no_complementarity,Route B Without Structured Complementarity,hybrid,muscle_gain,Muscle Gain,route_b_generalized_v5_main__no_complementarity,heuristic,10.926954,4.8,29.5,9.67,0.0,0.0,0.0,0.0,0,0,Same basket,model,0
route_b_no_structured_materialization,Route B Without Structured Materialization,hybrid,muscle_gain,Muscle Gain,route_b_generalized_v5_main__no_structured_materialization,heuristic,10.926954,4.8,29.5,9.67,0.0,0.0,0.0,0.0,0,0,Same basket,model,0
route_b_generalized_main,Generalized Route B Main,hybrid,muscle_gain,Muscle Gain,route_b_generalized_v5_main,model,11.081449,0.2,104.5,9.37,0.154495,-4.6,75.0,-0.3,1,1,Large basket change,model,1
heuristic_legacy,Heuristic Legacy Baseline,legacy_heuristic,fat_loss,Fat Loss,route_b_generalized_v5_main__legacy_heuristic,heuristic,7.619931,1.0,449.5,11.75,-1.510712,-2.9,27.5,0.68,0,1,"Same basket structure, different produce",heuristic,1
heuristic_scorer_only,Heuristic + Scorer Only,heuristic_scorer,fat_loss,Fat Loss,route_b_generalized_v5_main__heuristic_scorer_only,heuristic,9.130643,3.9,422.0,11.07,0.0,0.0,0.0,0.0,0,0,Same basket,heuristic,1
route_b_no_complementarity,Route B Without Structured Complementarity,hybrid,fat_loss,Fat Loss,route_b_generalized_v5_main__no_complementarity,heuristic,9.130643,3.9,422.0,11.07,0.0,0.0,0.0,0.0,0,0,Same basket,heuristic,1
route_b_no_structured_materialization,Route B Without Structured Materialization,hybrid,fat_loss,Fat Loss,route_b_generalized_v5_main__no_structured_materialization,heuristic,9.130643,3.9,422.0,11.07,0.0,0.0,0.0,0.0,0,0,Same basket,heuristic,1
route_b_generalized_main,Generalized Route B Main,hybrid,fat_loss,Fat Loss,route_b_generalized_v5_main,heuristic,9.130643,3.9,422.0,11.07,0.0,0.0,0.0,0.0,0,0,Same basket,heuristic,1
heuristic_legacy,Heuristic Legacy Baseline,legacy_heuristic,maintenance,Maintenance,route_b_generalized_v5_main__legacy_heuristic,heuristic,9.421313,1.6,3.6,7.35,-2.042458,-0.4,-1.8,-0.76,0,1,4 carb/produce substitutions,model,0
heuristic_scorer_only,Heuristic + Scorer Only,heuristic_scorer,maintenance,Maintenance,route_b_generalized_v5_main__heuristic_scorer_only,heuristic,11.463771,2.0,5.4,8.11,0.0,0.0,0.0,0.0,0,0,Same basket,model,0
route_b_no_complementarity,Route B Without Structured Complementarity,hybrid,maintenance,Maintenance,route_b_generalized_v5_main__no_complementarity,model,11.681174,0.4,80.5,8.07,0.217403,-1.6,75.1,-0.04,1,1,"Same basket structure, different produce",model,1
route_b_no_structured_materialization,Route B Without Structured Materialization,hybrid,maintenance,Maintenance,route_b_generalized_v5_main__no_structured_materialization,model,11.506197,0.3,23.0,8.2,0.042426,-1.7,17.6,0.09,1,1,"Same basket structure, different produce",model,1
route_b_generalized_main,Generalized Route B Main,hybrid,maintenance,Maintenance,route_b_generalized_v5_main,model,11.681174,0.4,80.5,8.07,0.217403,-1.6,75.1,-0.04,1,1,"Same basket structure, different produce",model,1
heuristic_legacy,Heuristic Legacy Baseline,legacy_heuristic,high_protein_vegetarian,High-Protein Vegetarian,route_b_generalized_v5_main__legacy_heuristic,heuristic,8.456463,2.4,19.7,13.2,-1.532285,1.6,-78.9,1.76,0,1,"Same basket structure, different produce",model,0
heuristic_scorer_only,Heuristic + Scorer Only,heuristic_scorer,high_protein_vegetarian,High-Protein Vegetarian,route_b_generalized_v5_main__heuristic_scorer_only,heuristic,9.988748,0.8,98.6,11.44,0.0,0.0,0.0,0.0,0,0,Same basket,model,0
route_b_no_complementarity,Route B Without Structured Complementarity,hybrid,high_protein_vegetarian,High-Protein Vegetarian,route_b_generalized_v5_main__no_complementarity,model,10.58325,2.5,31.9,12.53,0.594502,1.7,-66.7,1.09,1,1,"Same basket structure, different produce",model,1
route_b_no_structured_materialization,Route B Without Structured Materialization,hybrid,high_protein_vegetarian,High-Protein Vegetarian,route_b_generalized_v5_main__no_structured_materialization,model,10.002262,3.9,3.8,14.63,0.013514,3.1,-94.8,3.19,1,1,"Same basket structure, different produce",model,1
route_b_generalized_main,Generalized Route B Main,hybrid,high_protein_vegetarian,High-Protein Vegetarian,route_b_generalized_v5_main,model,10.58325,2.5,31.9,12.53,0.594502,1.7,-66.7,1.09,1,1,"Same basket structure, different produce",model,1
heuristic_legacy,Heuristic Legacy Baseline,legacy_heuristic,budget_friendly_healthy,Budget-Friendly Healthy,route_b_generalized_v5_main__legacy_heuristic,heuristic,11.361258,15.1,359.3,4.77,-0.350144,0.0,0.0,0.0,0,0,Same basket,model,0
heuristic_scorer_only,Heuristic + Scorer Only,heuristic_scorer,budget_friendly_healthy,Budget-Friendly Healthy,route_b_generalized_v5_main__heuristic_scorer_only,heuristic,11.711402,15.1,359.3,4.77,0.0,0.0,0.0,0.0,0,0,Same basket,model,0
route_b_no_complementarity,Route B Without Structured Complementarity,hybrid,budget_friendly_healthy,Budget-Friendly Healthy,route_b_generalized_v5_main__no_complementarity,model,11.812986,19.3,1.9,4.85,0.101584,4.2,-357.4,0.08,1,1,"Same basket structure, different produce",model,1
route_b_no_structured_materialization,Route B Without Structured Materialization,hybrid,budget_friendly_healthy,Budget-Friendly Healthy,route_b_generalized_v5_main__no_structured_materialization,model,11.828466,19.2,91.9,4.93,0.117064,4.1,-267.4,0.16,1,1,"Same basket structure, different produce",model,1
route_b_generalized_main,Generalized Route B Main,hybrid,budget_friendly_healthy,Budget-Friendly Healthy,route_b_generalized_v5_main,model,11.812986,19.3,1.9,4.85,0.101584,4.2,-357.4,0.08,1,1,"Same basket structure, different produce",model,1
